Country,Population,Spanish as a native language speakers,Native speakers and proficient speakers as a second language,Total number of Spanish speakers (including limited competence speakers)
Mexico*,130 118 356,"122,051,018 (93.8%)","125,954,569 (96,8%)","129,077,409 (99.2%)"
United States,331 893 745,41 254 941 (13.2%),"41,254,941 (82% of U.S. Hispanics speak Spanish very well (according to a 2011 survey). There are 60.5 million Hispanics in the U.S. as of 2019 + 2.8 mill. non Hispanic Spanish speakers)","56,254,941  (41.25 million as a first language + 15 million as a second language. To avoid double counting, the number does not include 8 million Spanish students and some of the 7.7 million undocumented Hispanics not accounted by the Census"
Colombia*,51 609 474,"50 759 474 (850,000 with other mother tongue)",51 196 598 (99.2%),51 196 598 (99.2%)
Spain*,47 353 590,"43,565,303 (92%)","46,406,518 (98%)","46,406,518 (98%)"
Argentina*,46 234 830,44 709 081 (96.7%),"45 356 368 (98,1%)","45,957,421 (99.4%)"
Venezuela*,32 605 423,"31,507,179 (1,098,244 with other mother tongue)","31,725,077 (97.3%)","32,214,158 (98.8%)"
Peru*,33 470 569,"27,747,102 (82.9%)","30,123,512 (86.6%)","30,123,512 (86.6%)"
Chile*,19 828 563,"19 015 592 (281,600 with other mother tongue)","19,015,592 (95.9%)","19,689,763 (99.3%)"
Ecuador*,17 424 000,16 625 145 (93%),"17,125,687 (95.8%)","17,536,847 (98.1%)"
Guatemala*,17 357 886,"12,133,162 (69.9%)","13,591,225 (78.3%)","14,997,214 (86.4%)"
Cuba*,11 181 595,11 159 232 (99.8%),"11,159,232 (99.8%)","11,159,232 (99.8%)"
Bolivia*,12 006 031,"7,287,661 (60.7%)","9,965,006 (83%)","10,553,301 (87.9%)"
Dominican Republic*,10 621 938,10 367 011 (97.6%),10 367 011 (97.6%),"10,473,231 (99.6%)"
Honduras*,9 526 440,"9 318 690 (207,750 with other mother tongue)","9,402,596 (98.7%)","9,402,596 (98.7%)"
France,67 407 241,"477,564 (1% of 47,756,439)","1,910,258 (4% of 47,756,439)","6,685,901 (14% of 47,756,439)"
Paraguay*,7 453 695,5 083 420 (61.5%),"6,596,520 (68,2%)",6 484 714 (87%)
Nicaragua*,6 595 674,"6 285 677 (490,124 with other mother tongue)","6,404,399 (97.1%)","6,404,399 (97.1%)"
El Salvador*,6 330 947,"6 316 847 (14,100 with other mother tongue)","6,311,954 (99.7%)","6,311,954 (99.7%)"
Brazil,214 100 000,"460,018","460,018","6,056,018 (460,018 immigrants native speakers + 96,000 descendants of Spanish immigrants + 5,500,000 can hold a conversation)"
Italy,60 542 215,"255,459","1,037,248 (2% of 51,862,391)","5,704,863 (11% of 51,862,391)"
Costa Rica*,5 262 374,"5 176 956 (84,310 with other mother tongue)","5,225,537 (99.3%)","5,225,537 (99.3%)"
Panama*,4 278 500,"3 777 457 (501,043 with other mother tongue)","3,931,942 (91.9%)","3,931,942 (91.9%)"
