Country,Population,Percentage of Spanish speakers (including limited competence speakers)
Mexico,130118356,99.2
United States,33893745,16.9
Colombia,51609474,99.2
Spain,47353590,98
Argentina,46234830,99.5
Venezuela,32605423,99.4
Peru,33470569,86.6
Chile,19828563,99.3
Ecuador,17424000,98.1
Guatemala,17357886,86.4
Cuba,11181595,99.8
Bolivia,12006031,87.9
Dominican Republic,10621938,99.6
Honduras,9526440,98.7
France,67407241,14
Paraguay,7453695,87
Nicaragua,6595674,97.1
El Salvador,6330947,99.7
Brazil,214100000,2.5
Italy,60542215,11
Costa Rica,5262374,99.3
Panama,4278500,91.9
Uruguay,3543026,98.4
Puerto Rico,3285874,99
United Kingdom,67081000,6
Philippines,101562305,2.9
Germany,83190556,4
Morocco,35601000,10
Equatorial Guinea,1505588,87.7
Canada,34605346,2.7
Romania,21355849,5
Portugal,10636888,10
Netherlands,16665900,5
Ivory Coast,21359000,2.7
Australia,21507717,2.5
Sweden,9555893,6
Belgium,10918405,5
Benin,10008749,4.1
Senegal,12853259,2.7
Poland,38092000,1
Austria,8205533,4
Belize,430191,62.8
Algeria,33769669,0.6
Switzerland,8570146,2.5
Cameroon,21599100,0.9
Denmark,5484723,4
Israel,7112359,2.5
Japan,127288419,0.1
Gabon,1545255,10.8
Bonaire and Curaçao,223652,67.3
Ireland,4581269,4
Finland,5244749,3
Bulgaria,7262675,2
Norway,5165800,2.5
Czech Republic,10513209,1
Russia,146171015,0.01
Hungary,9957731,1
Aruba,101484,81.8
Trinidad and Tobago,1317714,5.3
Guam,170.534,35.5
China,1411778724,0.004
New Zealand,5123000,1.1
Slovenia,2108000,3
India,1386745000,0.003
Andorra,84484,56
Slovakia,5455407,1
Gibraltar,29441,
Lithuania,2972949,1
Luxembourg,524853,6
Western Sahara,513000,4.3
Turkey,83614362,0.2
US Virgin Islands,105870,15.9
Latvia,2209000,1
Cyprus,1244000,2
Estonia,1331000,1
Jamaica,2711476,0.3
Namibia,2530000,0.15
Egypt,109300000,0.003
Malta,518536,1
Total,7626000000,7.2
