Country of Origin,Total
Germany,165021
Austria,6836
Belgium,47720
Bulgaria,109402
Cyprus,593
Croacia,2558
Denmark,8881
Slovenia,1496
Estonia,2516
Finland,11344
France,210978
Greece,4804
Hungary,10052
Ireland,15297
Italy,142401
Latvia,4639
Lithuania,14105
Luxemburg,1603
Malta,486
Netherlands,47632
Polska,48197
Portugal,93902
Czechia,7199
Slovakia,5551
Romania,556204
Sweden,18795
Albania,4610
Andorra,6721
Armenia,13018
Belarus,6302
Bosnia y Herzegovina,2357
Georgia,19866
Iceland,1424
Liechtenstein,103
Macedonia,881
Moldavia,23309
Norway,10679
United Kingdom,288052
Russia,95239
Serbia,5214
Switzerland,60632
Turkey,6601
Ukrain,115028
Angola,3344
Algeria,70144
Benin,459
Burkina Faso,1612
Cabo Verde,4639
Cameroon,6881
Congo,1975
Ivory Coast,5497
Egypt,5952
Ethiopia,4186
Gambia,24368
Ghana,20959
Guinea,13531
Guinea Ecuatorial,23025
Guinea-Bissau,5799
Kenya,2022
Liberia,675
Mali,27573
Morocco,951083
Mauritania,10224
Nigeria,34763
DRC,1407
Senegal,82241
Sierra Leon,1034
South frica,4050
Togo,589
Tunisia,4030
Costa Rica,5623
Cuba,166527
Dominica,811
El Salvador,28458
Guatemala,14857
Honduras,143832
Nicaragua,68853
Panama,6270
Dominican Republic,188308
Canada,8056
USA,57140
Mexico,62353
Argentina,302406
Bolivia,178390
Brazil,156835
Chile,62660
Colombia,538884
Ecuador,416935
Paraguay,109196
Peru,252971
Uruguay,83018
Venezuela,415197
Saudi Arabia,1483
Bangladesh,19665
China,204629
Corea,5184
Phillipines,53008
India,58016
Indonesia,2617
Iran,10433
Iraq,2968
Israel,3781
Japan,7003
Jordan,2762
Kazakhstan,3804
Lebanon,4996
Nepal,5802
Pakistan,104923
Siria,11025
Tailandia,3122
Vietnam,3865
Australia,7215
New Zealand,1270
