"",playlist.id,playlist.name,followers.total
0,37i9dQZEVXbMMy2roB9myp,Top 50 - Argentina,1263433
1,37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,807618
2,37i9dQZEVXbKNHh6NIXu36,Top 50 - Austria,117952
3,37i9dQZEVXbJNSeeHswcKB,Top 50 - Belgium,267613
4,37i9dQZEVXbJqfMFK4d691,Top 50 - Bolivia,91292
5,37i9dQZEVXbMXbN3EUUhlg,Top 50 - Brazil,3200210
6,37i9dQZEVXbKj23U1GF4IR,Top 50 - Canada,332490
7,37i9dQZEVXbL0GavIqMTeb,Top 50 - Chile,501651
8,37i9dQZEVXbOa2lmxNORXQ,Top 50 - Colombia,769867
9,37i9dQZEVXbMZAjGMynsQX,Top 50 - Costa Rica,138780
10,37i9dQZEVXbL3J0k32lWnN,Top 50 - Denmark,192668
11,37i9dQZEVXbJlM6nvL1nD1,Top 50 - Ecuador,168515
12,37i9dQZEVXbLesry2Qw2xS,Top 50 - Estonia,16931
13,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,131285
14,37i9dQZEVXbIPWwFssbupI,Top 50 - France,816680
15,37i9dQZEVXbJiZcmkrIHGU,Top 50 - Germany,2129945
16,37i9dQZEVXbMDoHDwVN2tF,Top 50 - Global,17005480
17,37i9dQZEVXbJqdarpmTJDL,Top 50 - Greece,79312
18,37i9dQZEVXbLy5tBFyQvd4,Top 50 - Guatemala,74538
19,37i9dQZEVXbLwpL8TjsxOG,Top 50 - Hong Kong,104714
20,37i9dQZEVXbNHwMxAkvmF8,Top 50 - Hungary,68322
21,37i9dQZEVXbKMzVsSGQ49S,Top 50 - Iceland,39722
22,37i9dQZEVXbLZ52XmnySJg,Top 50 - India,349947
23,37i9dQZEVXbObFQZ3JLcXt,Top 50 - Indonesia,620452
24,37i9dQZEVXbKM896FDX8L1,Top 50 - Ireland,239751
25,37i9dQZEVXbJ6IpvItkve3,Top 50 - Israel,48557
26,37i9dQZEVXbIQnj7RRhdSX,Top 50 - Italy,1024869
27,37i9dQZEVXbKXQ4mDTEBXq,Top 50 - Japan,920586
